<<<<<<< HEAD
route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
001,106.0.1,1012222,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394480,55205,0,0
001,106.0.1,1012229,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394474,55204,0,0
001,106.0.1,1012221,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394475,55205,0,0
001,106.0.1,1012228,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394473,55204,0,0
001,106.0.1,1012220,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394481,55205,0,0
001,106.0.1,1012230,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394471,55204,0,0
001,106.0.1,1012219,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394478,55205,0,0
001,106.0.1,1012218,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394479,55204,0,0
001,106.0.1,1012217,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394482,55205,0,0
001,106.0.1,1012216,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394483,55204,0,0
001,106.0.1,1012215,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394484,55205,0,0
001,106.0.1,1012214,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394485,55204,0,0
001,106.0.1,1012213,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394472,55205,0,0
001,106.0.1,1012212,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394474,55204,0,0
001,106.0.1,1012211,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394470,55205,0,0
001,106.0.1,1012210,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394473,55204,0,0
001,106.0.1,1012209,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394475,55205,0,0
001,106.0.1,1012208,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394471,55204,0,0
001,106.0.1,1012207,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394481,55205,0,0
001,106.0.1,1012206,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394479,55204,0,0
001,106.0.1,1012205,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394478,55205,0,0
001,106.0.1,1012204,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394483,55204,0,0
001,106.0.1,1012203,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394482,55205,0,0
001,106.0.1,1012202,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394485,55204,0,0
001,106.0.1,1012201,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394484,55205,0,0
001,106.0.1,1012200,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394474,55204,0,0
001,106.0.1,1012199,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394472,55205,0,0
001,106.0.1,1012198,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394473,55204,0,0
001,106.0.1,1012197,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394470,55205,0,0
001,106.0.1,1012196,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394471,55204,0,0
001,106.0.1,1012195,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394475,55205,0,0
001,106.0.1,1012194,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,395720,55204,0,0
001,106.0.1,1012193,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394477,55205,0,0
001,106.0.1,1012192,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394478,55204,0,0
001,106.0.1,1012191,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394479,55205,0,0
001,106.0.1,1012190,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394482,55204,0,0
001,106.0.1,1012189,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394483,55205,0,0
001,106.0.1,1012188,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394484,55204,0,0
001,106.0.1,1012187,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394485,55205,0,0
001,106.0.1,1012186,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394472,55204,0,0
001,106.0.1,1012185,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,394474,55205,0,0
